App / Time window,"Jun 09, 2022 - Jun 15, 2022","Jun 16, 2022 - Jun 22, 2022","Jun 23, 2022 - Jun 29, 2022","Jun 30, 2022 - Jul 06, 2022","Jul 07, 2022 - Jul 13, 2022","Jul 14, 2022 - Jul 20, 2022","Jul 21, 2022 - Jul 27, 2022","Jul 28, 2022 - Aug 03, 2022","Aug 04, 2022 - Aug 10, 2022","Aug 11, 2022 - Aug 17, 2022","Aug 18, 2022 - Aug 24, 2022","Aug 25, 2022 - Aug 31, 2022","Sep 01, 2022 - Sep 07, 2022","Sep 08, 2022 - Sep 14, 2022","Sep 15, 2022 - Sep 21, 2022","Sep 22, 2022 - Sep 28, 2022","Sep 29, 2022 - Oct 05, 2022","Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022","Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023","Jan 26, 2023 - Feb 01, 2023","Feb 02, 2023 - Feb 08, 2023","Feb 09, 2023 - Feb 15, 2023","Feb 16, 2023 - Feb 22, 2023","Feb 23, 2023 - Mar 01, 2023","Mar 02, 2023 - Mar 08, 2023","Mar 09, 2023 - Mar 15, 2023","Mar 16, 2023 - Mar 22, 2023","Mar 23, 2023 - Mar 29, 2023","Mar 30, 2023 - Apr 05, 2023","Apr 06, 2023 - Apr 12, 2023","Apr 13, 2023 - Apr 19, 2023","Apr 20, 2023 - Apr 26, 2023","Apr 27, 2023 - May 03, 2023","May 04, 2023 - May 10, 2023","May 11, 2023 - May 17, 2023","May 18, 2023 - May 24, 2023","May 25, 2023 - May 31, 2023","Jun 01, 2023 - Jun 07, 2023"
com.twitter.android,3361,3358,3245,3257,3353,3428,3192,3131,3040,3210,3240,3348,2697,2992,2385,2325,2482,2410,2296,2313,4153,5740,4452,4980,5636,4881,4889,4869,3823,3411,3187,3165,3605,4748,3303,2813,2632,2543,2654,2667,2883,2745,2982,2647,2557,3217,2484,2380,2432,2206,2241,2347
org.joinmastodon.android,2,7,4,1,4,5,2,0,4,0,3,2,4,4,2,4,7,4,2,2,26,357,160,238,69,51,32,136,40,25,24,15,16,15,10,10,14,7,10,10,9,8,10,6,11,16,10,5,13,8,8,9
com.mewe,15,58,41,62,62,44,88,76,60,57,60,62,59,53,76,56,58,57,66,62,57,65,45,66,61,61,61,54,50,43,49,57,63,62,56,48,32,52,48,35,40,43,56,57,39,31,33,30,45,42,40,35
org.hiveinc.TheHive.android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,661,388,151,167,27,28,21,20,15,11,18,11,6,3,4,7,7,4,3,4,3,11,3,0,3,4,4,1
xyz.blueskyweb.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,252,235,44,27,21,18,14
com.gettr.gettr,67,25,262,124,54,67,250,42,211,106,53,460,58,106,20,47,22,12,90,38,57,20,38,42,21,10,25,15,19,25,8,8,25,10,7,25,11,13,5,17,4,4,27,18,3,7,38,9,12,7,4,31
counter.social.android,1,2,3,0,2,2,1,3,0,2,1,1,0,9,3,0,0,2,2,3,12,114,12,9,9,0,6,6,0,14,2,0,0,1,0,3,1,0,1,2,1,1,3,18,0,0,0,1,0,1,0,1
com.minds.mobile,5,4,3,4,3,2,4,4,4,2,2,1,3,2,1,3,1,3,1,2,4,4,1,2,1,0,3,36,39,18,18,8,13,15,14,8,9,10,2,2,12,17,6,5,32,21,20,6,14,8,14,15
com.truthsocial.android.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,2269,240,148,143,110,109,81,67,46,59,49,40,28,37,40,49,26,54,40,31,25,28,69,50,69,57,44,38,47,33,75,89,55,68
com.vkontakte.android,54,64,65,83,84,152,183,127,98,98,85,105,93,62,76,69,88,86,71,83,62,80,65,67,63,83,103,78,90,84,50,83,76,89,120,69,63,58,62,71,115,77,74,73,65,0,0,5,1,28,2,2
